Taxa, voucher information and character sampling. + or Genbank number indicate sampling; - indicates no sampling; Genbank information not presented are novel and will be included pending acceptance;;;;;;
Taxon and voucher info;Infrageneric;morphology;trnlf;trndt;matk;its;;
Mimosa accedens Borges LM 1005;ser. Setosae;+;+;MT459465;+;+;;
Mimosa acroconica Borges LM 651;ser. Setosae;+;+;MT459466;+;+;;
Mimosa acroconica Borges LM 662;ser. Setosae;+;+;MT459467;+;+;;
Mimosa acutistipula Simon MF 705;ser. Leiocarpae;-;+;FJ981981;+;+;;
Mimosa adamantina adamantina Dutra VF 459;ser. Pogocephalae;-;-;JF694255;-;+;;
Mimosa adenocarpa Simon MF 728;ser. Glandulosae;+;+;FJ981984;+;-;;
Mimosa adenotricha Borges LM 668;ser. Pachycarpae;+;+;MT459471;+;+;;
Mimosa adenotricha Borges LM 671;ser. Pachycarpae;+;+;MT459472;+;-;;
Mimosa adenotricha Dutra VF 332;ser. Pachycarpae;+;+;FJ981987;-;+;;
Mimosa aguapeia Borges LM 767;ser. Setosae;+;+;MT459474;+;+;;
Mimosa aguapeia Borges LM 768;ser. Setosae;+;+;-;+;+;;
Mimosa aguapeia Simon MF 2326;ser. Setosae;+;-;MT459480;-;-;;
Mimosa albolanata albolanata Borges LM 970;ser. Pachycarpae;+;+;-;+;+;;
Mimosa albolanata Borges LM 1006;ser. Pachycarpae;+;+;MT459482;+;+;;
Mimosa albolanata brasiliana Borges LM 488;ser. Pachycarpae;+;-;MT459481;+;-;;
Mimosa albolanata paucipinna Borges LM 521;ser. Pachycarpae;+;+;MT459483;-;+;;
Mimosa albolanata paucipinna Simon MF 667;ser. Pachycarpae;+;-;FJ981994;-;-;;
Mimosa antrorsa Borges LM 950;ser. Pachycarpae;+;+;MT459486;+;+;;
Mimosa antrorsa Fagg CW 1747;ser. Pachycarpae;+;+;FJ981996;+;+;;
Mimosa arenosa leiocarpa Martinez-Bernal A 923;ser. Leiocarpae;-;+;FJ981998;+;+;;
Mimosa aurivillus aurivillus Dutra VF 348;sect. Calothamnos;-;+;JF694257;+;+;;
Mimosa benthamii Simon MF 848;ser. Distachyae;-;+;FJ982004;+;+;;
Mimosa bimucronata Simon MF 301;ser. Bimucronatae;-;+;FJ982006;+;+;;
Mimosa bispiculata Borges LM 663;ser. Setosae;-;+;MT459475;+;+;;
Mimosa boliviana Hugues CE 2426;ser. Bolivianae;-;+;FJ982009;+;+;;
Mimosa caliciadenia Borges LM 443;ser. Setosae;+;+;MT459495;+;+;;
Mimosa callidryas Cruz JM 94;ser. Myriophyllae;-;-;FJ982016;-;+;;
Mimosa candollei Hugues CE 2394;ser. Quadrivalves;-;+;FJ982020;+;+;;
Mimosa capito Borges LM 598;ser. Pachycarpae;+;+;-;+;+;;
Mimosa chiliomera Borges LM 648;ser. Pachycarpae;+;+;MT459499;+;+;;
Mimosa claussenii Borges LM 908;ser. Pachycarpae;+;+;MT459503;+;+;;
Mimosa claussenii Borges LM 925;ser. Pachycarpae;+;+;-;+;+;;
Mimosa claussenii claviceps Simon MF 766;ser. Pachycarpae;-;+;FJ982025;+;+;;
Mimosa claussenii megistophylla Borges LM 584;ser. Pachycarpae;+;+;+;+;+;;
Mimosa claussenii megistophylla Simon MF 768;ser. Pachycarpae;+;+;FJ982026+;+;+;;
